group,model,EM,F1,NLL/token,wall_clock_sec,compression,payload_bytes,samples,M
text,llama,0.0,0.008771054326936681,14.314151741986606,107.32614803314209,9.511875,8192,200,8
text,qwen,0.0,0.002543738896102188,11.753927846023123,107.32614803314209,7.484375,8192,200,8
latent,llama,0.0,0.0,10.12145115551464,14.302679061889648,9.511875,8192,200,8
latent,qwen,0.0,0.0,9.866336449530621,14.302679061889648,7.484375,8192,200,8
token_budget,llama,0.0,0.01076005894362357,,13.23747205734253,9.511875,8192,200,8
token_budget,qwen,0.0,0.004907781076781872,,13.23747205734253,7.484375,8192,200,8
joint,both,0.0,0.0,,,,8192,200,8
