trace_id,prompt_id,bf16_mean_nll,static_1pct_mean_nll,m11b_top10_mean_nll,paroquant_mean_nll,bf16_perplexity,static_1pct_perplexity,m11b_top10_perplexity,paroquant_perplexity,score_start,score_end,scored_tokens
nemotron_trace_0,opencompass_AIME2025_I_0,0.00011336160969221964,0.0010138852532008968,0.0007848335649214278,0.0001493493328155182,1.0001133680353622,1.0010143994086045,1.000785141627371,1.0001493604859824,9489,10000,512
nemotron_trace_1,opencompass_AIME2025_I_1,0.00039569655200466514,0.000782007183602218,0.0002930127365630142,0.00020999533271037762,1.0003957748502124,1.0007823130309397,1.000293055668988,1.0002100173832738,9489,10000,512
nemotron_trace_2,opencompass_AIME2025_I_2,0.4510153484025068,2.5720502401527483,1.4738604774611304,0.6906747610155435,1.56990537744792,13.092639998605419,4.366057715991012,1.9950612687348621,9489,10000,512
nemotron_trace_3,opencompass_AIME2025_I_3,0.16308939456939697,0.11104943718237337,0.08375296758458717,0.7508397585479543,1.1771419150797253,1.11745014907575,1.0873602473996675,2.118778532129932,9489,10000,512
nemotron_trace_4,opencompass_AIME2025_I_4,8.451581379631534e-05,5.652894876106984e-05,0.0002514669833146854,6.130871432930007e-05,1.0000845193853583,1.0000565305465523,1.000251498603787,1.000061310593747,9489,10000,512
nemotron_trace_5,opencompass_AIME2025_I_5,0.4094743040332105,1.6809864028473385,0.6248804861970711,0.3737859775137622,1.5060258652533087,5.370851181985631,1.868022689595103,1.4532260941097863,9489,10000,512
nemotron_trace_6,opencompass_AIME2025_I_6,0.0002134810492862016,0.0011205829721347982,0.0012773487567301345,0.0001745413772766824,1.0002135038379871,1.0011212110598198,1.0012781649141222,1.0001745566105091,9489,10000,512
nemotron_trace_7,opencompass_AIME2025_I_7,0.002537485444918275,0.015444909387952066,0.004197101422960259,0.002358416249990114,1.002540707585912,1.0155647984308553,1.0042059215885302,1.0023611995011859,9489,10000,512
nemotron_trace_8,opencompass_AIME2025_I_8,0.3042956286735716,1.3536766577744856,0.4894661303551402,0.20432195935427444,1.3556697717116517,3.871634068223199,1.6314450084521128,1.226693035182367,9489,10000,512
nemotron_trace_9,opencompass_AIME2025_I_9,0.0003904534096363932,0.0006936185825452412,0.0005766657992580804,0.00010188287781431882,1.000390529646491,1.0006938591915413,1.0005768321029458,1.000101888068051,9489,10000,512
nemotron_trace_10,opencompass_AIME2025_I_10,0.3626428705028957,1.2728710511582904,0.4277222026139498,0.19572212605271488,1.4371225287379676,3.5710906422220514,1.5337599472767254,1.2161889111632145,9489,10000,512
nemotron_trace_11,opencompass_AIME2025_I_11,0.00018869050836656243,0.000800170417960544,0.0007623504574212348,0.00010700649451678146,1.0001887083115404,1.0008004906397143,1.000762641120389,1.0001070122199158,9489,10000,512
