trace_id,prompt_id,no_gap_flag,m11b_top5_recovery_before,in_sample_best_triggered,in_sample_predicted_recovery_after_static_fallback,loo_triggered,loo_predicted_recovery_after_static_fallback,loo_trained_feature,loo_trained_direction,loo_trained_threshold,static_gap,early_churn_mean,early_margin_mean,early_margin_min,early_top5_mass_fraction_mean,early_top1_to_mean_max,early_max_abs_max,early_global_overlap_mean,pos1000_global_overlap_mean,final_global_overlap_mean,initial_to_final_drift_mean,p1000_to_final_drift_mean,scale_growth_1000_over_100_mean,mean_growth_1000_over_100_mean
0,opencompass_AIME2025_I_0,True,,False,,False,,,,,-0.0011893337179100794,0.7827918911158755,0.00161583616298892,0.0,0.2771803417677239,151.11596666827336,228.0,0.27778120367596465,0.2682997505373842,0.34941330159850487,0.8061074093584408,0.7884040865218406,1.1500155794278812,0.9180525693236422
1,opencompass_AIME2025_I_1,False,1.3686628418925668,False,1.3686628418925668,False,1.3686628418925668,early_churn_mean,>=,0.811005947909254,0.02851820756108725,0.6843139896093856,0.0016803273216917146,0.0,0.27377704324691227,162.8152671856018,106.0,0.30789736989771743,0.39650962784748545,0.40219835019933853,0.8160187820300301,0.2993224890496041,0.9206940667323967,2.127503097874181
2,opencompass_AIME2025_I_2,False,1.00079062654749,False,1.00079062654749,False,1.00079062654749,early_churn_mean,>=,0.811005947909254,0.04309938962615045,0.778362707072403,0.001566904633126992,0.0,0.27830310833168553,168.01078875614527,136.0,0.2748797446170147,0.29920643599442837,0.3427207215108129,0.7969422375143389,0.7806973800282292,1.0235335215630654,1.1117547228540956
3,opencompass_AIME2025_I_3,True,,False,,False,,,,,-6.012396517340868e-05,0.8102803424541722,0.0018065325700796031,0.0,0.27707119148520404,236.58850291042094,106.0,0.27939106513788087,0.2813104715125729,0.4629247964242305,0.8262693470609762,0.8392372939852073,0.9711084687792455,1.0667505598577771
4,opencompass_AIME2025_I_4,False,-2.722226022567281,True,0.0,True,0.0,early_churn_mean,>=,0.811005947909254,0.0007722731060850752,0.812007496061297,0.001648440746416091,0.0,0.2784273946424983,160.65968061554878,110.0,0.27489525039232054,0.2781403147251115,0.45944691243608693,0.8427149121500501,0.842279243783859,0.8401950364324978,0.9949918081987887
5,opencompass_AIME2025_I_5,False,1.000364534427094,False,1.000364534427094,False,1.000364534427094,early_churn_mean,>=,0.811005947909254,0.05071758947543281,0.8008772439027888,0.0015901514142095362,0.0,0.27701316057853126,160.58707478098302,140.0,0.28075371401042426,0.24841111674943456,0.2868470379824747,0.8014765608123595,0.8399834728588249,0.9566554604851285,1.4717397528883074
6,opencompass_AIME2025_I_6,True,,False,,False,,,,,-1.8042876893220594e-05,0.7716413607860902,0.0015120909053822835,0.0,0.272281356390034,172.53644108276274,140.0,0.2754117480796091,0.3041593267339138,0.30326793415532344,0.8203032203554227,0.8047257957632427,0.9626361692939047,0.8566788353755567
7,opencompass_AIME2025_I_7,False,-2.2782493959434995,True,0.0,False,-2.2782493959434995,early_churn_mean,>=,0.8113682704778206,0.010724353235221251,0.8112828509241637,0.0016668872801397876,0.0,0.2734971412361574,154.01698046787067,158.0,0.27502386145631114,0.2535761613869674,0.29332282648123204,0.8291577456677964,0.8368354703752897,1.3276667051829831,0.9192357415678994
8,opencompass_AIME2025_I_8,False,0.12042598498579371,False,0.12042598498579371,True,0.0,early_churn_mean,>=,0.8090936683029297,0.15653844809851214,0.8107290448943442,0.0014600745622909315,0.0,0.26925253305585084,145.62182664880643,143.0,0.27122575221357687,0.28467795568516036,0.4697668827377736,0.8335247658835273,0.8265550837698847,1.4759462327897037,0.6716914610503523
9,opencompass_AIME2025_I_9,False,0.7040455891702454,False,0.7040455891702454,False,0.7040455891702454,early_churn_mean,>=,0.811005947909254,0.0007550975899679457,0.8069044856816958,0.0014341988291925007,0.0,0.2754116132307745,501.6709964400377,932.0,0.2712323670721133,0.2791535202037606,0.31528212884305123,0.7907109149485783,0.792304481220805,1.4771074746653987,0.9680277482261735
10,opencompass_AIME2025_I_10,False,0.19452259307894781,False,0.19452259307894781,False,0.19452259307894781,early_churn_mean,>=,0.811005947909254,0.13306293354753373,0.8041957489822639,0.0018149178594938273,0.0,0.27143960546990203,143.35157392746245,126.0,0.27346273287199124,0.3005895239188332,0.31851419757295757,0.8202873482746418,0.7830542420788484,1.4896919473662893,0.7431372878513298
11,opencompass_AIME2025_I_11,True,,False,,False,,,,,-0.0011922024259112263,0.7708440932208621,0.0016626639342177001,0.0,0.2794920086001108,148.59155090254308,115.0,0.2849674289744269,0.2843074736794042,0.31151838107206886,0.7889826146469553,0.7873998211610538,0.8831499176722323,0.8395026006722983
