unit_id,root,path,file_count,row_count,partition_status,scan_statuses
experimental/outlier_migrate/phase9/results/om_phase9_m10_granite_small_vac12_20260515T085800Z,experimental,experimental/outlier_migrate/phase9/results/om_phase9_m10_granite_small_vac12_20260515T085800Z,28,28,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/outlier_migrate/phase9/results/om_phase9_m11_granite_small_vac12_20260516T010728Z,experimental,experimental/outlier_migrate/phase9/results/om_phase9_m11_granite_small_vac12_20260516T010728Z,27,27,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/outlier_migrate/phase9/results/om_phase9_m11b_granite_small_vac12_reuse_20260518T030300Z,experimental,experimental/outlier_migrate/phase9/results/om_phase9_m11b_granite_small_vac12_reuse_20260518T030300Z,28,28,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/outlier_migrate/phase9/results/om_phase9_m18_granite_small_vac12_20260516T193500Z,experimental,experimental/outlier_migrate/phase9/results/om_phase9_m18_granite_small_vac12_20260516T193500Z,29,29,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/outlier_migrate/phase9/results/om_phase9_m26_granite_small_vac12_20260518T203000Z,experimental,experimental/outlier_migrate/phase9/results/om_phase9_m26_granite_small_vac12_20260518T203000Z,26,26,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/outlier_migrate/phase9/results/om_phase9_m2_granite_small_20260513T042800Z,experimental,experimental/outlier_migrate/phase9/results/om_phase9_m2_granite_small_20260513T042800Z,17,17,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/outlier_migrate/phase9/results/om_phase9_m2_granite_small_vac12_finalized_20260514T233800Z,experimental,experimental/outlier_migrate/phase9/results/om_phase9_m2_granite_small_vac12_finalized_20260514T233800Z,27,27,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/outlier_migrate/phase9/results/om_phase9_mpred_deepseek_extension_20260528T005045Z,experimental,experimental/outlier_migrate/phase9/results/om_phase9_mpred_deepseek_extension_20260528T005045Z,27,27,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/outlier_migrate/phase9/results/om_phase9_mpred_falcon_extension_20260528T011658Z,experimental,experimental/outlier_migrate/phase9/results/om_phase9_mpred_falcon_extension_20260528T011658Z,27,27,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/outlier_migrate/phase9/results/om_phase9_mpred_granite_reduced_20260527T201251Z,experimental,experimental/outlier_migrate/phase9/results/om_phase9_mpred_granite_reduced_20260527T201251Z,28,28,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/outlier_migrate/phase9/results/om_phase9_msurface_granite_internals_20260529T030958Z,experimental,experimental/outlier_migrate/phase9/results/om_phase9_msurface_granite_internals_20260529T030958Z,10,10,no_named_partition_detected,"['large_csv_file_level', 'large_json_file_level', 'large_jsonl_file_level']"
experimental/outlier_migrate/phase9/results/om_phase9_msurface_granite_sanity_20260529T0032Z,experimental,experimental/outlier_migrate/phase9/results/om_phase9_msurface_granite_sanity_20260529T0032Z,10,10,no_named_partition_detected,"['large_csv_file_level', 'large_json_file_level', 'large_jsonl_file_level']"
experimental/outlier_migrate/phase9/results/om_stage1_e15_bca_holm_20260527T093931Z,experimental,experimental/outlier_migrate/phase9/results/om_stage1_e15_bca_holm_20260527T093931Z,2,2,no_named_partition_detected,['large_json_file_level']
experimental/outlier_migrate/phase9/results/om_stage1_e1_deepseek_falcon_20260526T2335Z,experimental,experimental/outlier_migrate/phase9/results/om_stage1_e1_deepseek_falcon_20260526T2335Z,40,40,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level', 'npz_file_level']"
experimental/outlier_migrate/phase9/results/om_stage1_e2_mathonly_20260526T1202Z,experimental,experimental/outlier_migrate/phase9/results/om_stage1_e2_mathonly_20260526T1202Z,112,112,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/outlier_migrate/phase9/results/om_stage1_e3_granite_20260526T034442Z,experimental,experimental/outlier_migrate/phase9/results/om_stage1_e3_granite_20260526T034442Z,26,26,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/outlier_migrate/phase9/results/om_stage1_e4_granite_probe_20260527T093400Z,experimental,experimental/outlier_migrate/phase9/results/om_stage1_e4_granite_probe_20260527T093400Z,7,7,no_named_partition_detected,['large_json_file_level']
