experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
17_mpred,Granite/DeepSeek/Falcon,m11b_top10,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0008026155822562497,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.000802937764333
17_mpred,Granite/DeepSeek/Falcon,m11b_top5,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0008102262545932604,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.0008105545765509
17_mpred,Granite/DeepSeek/Falcon,mpred_top10_alpha_0_95,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0011724009100930743,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.001173088440701
17_mpred,Granite/DeepSeek/Falcon,mpred_top5_alpha_0_95,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0011142508441834842,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.0011148718522869
17_mpred,Granite/DeepSeek/Falcon,static_top10,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.001819146224052437,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.001820801874349
17_mpred,Granite/DeepSeek/Falcon,m11b_top10,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,0.054663657283526845,0.02851820756108725,False,-0.0612581819027076,0.0,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=1.0561853146897209
17_mpred,Granite/DeepSeek/Falcon,m11b_top5,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,0.015289054608729202,0.02851820756108725,False,1.3686628418925668,1.0,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=1.0154065301371649
17_mpred,Granite/DeepSeek/Falcon,mpred_top10_alpha_0_95,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,2.4987744400277734,0.02851820756108725,False,-389.68558469514204,0.0,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=12.16757272904311
17_mpred,Granite/DeepSeek/Falcon,mpred_top5_alpha_0_95,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,0.34658637788379565,0.02851820756108725,False,-12.61626646686622,0.0,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=1.4142316468914804
17_mpred,Granite/DeepSeek/Falcon,static_top10,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,0.9465080787194893,0.02851820756108725,False,-53.37845888236424,0.0,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=2.5766963108416294
17_mpred,Granite/DeepSeek/Falcon,m11b_top10,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,0.04459655378741445,0.04309938962615045,False,0.2407868558365348,0.2407868558365348,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=1.0456059290493045
