experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
06_m11b_nemotron,Nemotron,m11b_top1,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.00011336160969221964,0.0010138852532008968,0.00074888294483344,0.000901031373242267,False,0.29436930699994734,0.29436930699994734,512,10000,perplexity_bf16=1.0001133680353622; perplexity_static=1.0010143994086045; perplexity_method=1.000749163427678
06_m11b_nemotron,Nemotron,m11b_top10,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.00011336160969221964,0.0010138852532008968,0.0007848335649214278,0.000901031373242267,False,0.2544392881776635,0.2544392881776635,512,10000,perplexity_bf16=1.0001133680353622; perplexity_static=1.0010143994086045; perplexity_method=1.000785141627371
06_m11b_nemotron,Nemotron,m11b_top5,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.00011336160969221964,0.0010138852532008968,0.00039083130025119317,0.000901031373242267,False,0.6919755985924562,0.6919755985924562,512,10000,perplexity_bf16=1.0001133680353622; perplexity_static=1.0010143994086045; perplexity_method=1.0003909076847546
06_m11b_nemotron,Nemotron,static_top10,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.00011336160969221964,0.0010138852532008968,0.00028050154554648543,0.000901031373242267,False,0.8144650015682393,0.8144650015682393,512,10000,perplexity_bf16=1.0001133680353622; perplexity_static=1.0010143994086045; perplexity_method=1.0002805408897837
06_m11b_nemotron,Nemotron,m11b_top1,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.00039569655200466514,0.000782007183602218,0.00033109130191633085,0.00038653818072731383,False,1.1671988298794922,1.0,512,10000,perplexity_bf16=1.0003957748502124; perplexity_static=1.0007823130309397; perplexity_method=1.000331146118691
06_m11b_nemotron,Nemotron,m11b_top10,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.00039569655200466514,0.000782007183602218,0.0002930127365630142,0.00038653818072731383,False,1.2657413584115296,1.0,512,10000,perplexity_bf16=1.0003957748502124; perplexity_static=1.0007823130309397; perplexity_method=1.000293055668988
06_m11b_nemotron,Nemotron,m11b_top5,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.00039569655200466514,0.000782007183602218,0.00038851611213885917,0.00038653818072731383,False,1.0185835611383882,1.0,512,10000,perplexity_bf16=1.0003957748502124; perplexity_static=1.0007823130309397; perplexity_method=1.0003885915942985
06_m11b_nemotron,Nemotron,static_top10,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.00039569655200466514,0.000782007183602218,0.0003860831870383663,0.00038653818072731383,False,1.0248801384890702,1.0,512,10000,perplexity_bf16=1.0003957748502124; perplexity_static=1.0007823130309397; perplexity_method=1.0003861577267446
06_m11b_nemotron,Nemotron,m11b_top1,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.4510153484025068,2.5720502401527483,2.4800987307098694,11.522734621157499,False,0.09981975554045164,0.09981975554045164,512,10000,perplexity_bf16=1.56990537744792; perplexity_static=13.092639998605419; perplexity_method=11.94244344556398
06_m11b_nemotron,Nemotron,m11b_top10,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.4510153484025068,2.5720502401527483,1.4738604774611304,11.522734621157499,False,0.7573360464790251,0.7573360464790251,512,10000,perplexity_bf16=1.56990537744792; perplexity_static=13.092639998605419; perplexity_method=4.366057715991012
06_m11b_nemotron,Nemotron,m11b_top5,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.4510153484025068,2.5720502401527483,2.064092979999259,11.522734621157499,False,0.45253936263550354,0.45253936263550354,512,10000,perplexity_bf16=1.56990537744792; perplexity_static=13.092639998605419; perplexity_method=7.878149017328754
