experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
13_m26_stable_core,Granite,core_current_top1_union,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0006986119212235575,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.000698856007369
13_m26_stable_core,Granite,m26_core,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0004486340470646333,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.00044873469837
13_m26_stable_core,Granite,random_matched_core,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.004233796986085281,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.0042427721664386
13_m26_stable_core,Granite,core_current_top1_union,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,0.03468271538440604,0.02851820756108725,False,0.6714014680556205,0.6714014680556205,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=1.0352911747205757
13_m26_stable_core,Granite,m26_core,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,0.02635555138476775,0.02851820756108725,False,0.9724457886784391,0.9724457886784391,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=1.0267059302999677
13_m26_stable_core,Granite,random_matched_core,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,0.14715553748828825,0.02851820756108725,False,-3.650152385683967,0.0,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=1.1585341445079378
13_m26_stable_core,Granite,core_current_top1_union,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,0.03904064502421534,0.04309938962615045,False,0.37520135901256013,0.37520135901256013,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=1.0398127460055155
13_m26_stable_core,Granite,m26_core,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,0.043800915314932354,0.04309938962615045,False,0.2600816403725831,0.2600816403725831,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=1.0447743356128327
13_m26_stable_core,Granite,random_matched_core,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,0.03340708672112669,0.04309938962615045,False,0.5107340536360359,0.5107340536360359,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=1.0339713695928563
13_m26_stable_core,Granite,core_current_top1_union,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.00040124266054952784,0.0003411410087684752,0.000888898742449129,-6.012396517340868e-05,True,,,512,10000,perplexity_bf16=1.0004013231691533; perplexity_static=1.00034119920398; perplexity_method=1.0008892939300216
13_m26_stable_core,Granite,m26_core,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.00040124266054952784,0.0003411410087684752,0.0006101977863597341,-6.012396517340868e-05,True,,,512,10000,perplexity_bf16=1.0004013231691533; perplexity_static=1.00034119920398; perplexity_method=1.0006103839949017
13_m26_stable_core,Granite,random_matched_core,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.00040124266054952784,0.0003411410087684752,0.10663133446549011,-6.012396517340868e-05,True,,,512,10000,perplexity_bf16=1.0004013231691533; perplexity_static=1.00034119920398; perplexity_method=1.1125240296000571
13_m26_stable_core,Granite,core_current_top1_union,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.03609823703300208,0.03684285231429385,0.08856035083590541,0.0007722731060850752,False,-71.30926472476771,0.0,512,10000,perplexity_bf16=1.0367576894878223; perplexity_static=1.0375299625939074; perplexity_method=1.0926001899555466
13_m26_stable_core,Granite,m26_core,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.03609823703300208,0.03684285231429385,0.03288032339332858,0.0007722731060850752,False,5.313026881835041,1.0,512,10000,perplexity_bf16=1.0367576894878223; perplexity_static=1.0375299625939074; perplexity_method=1.0334268548211591
13_m26_stable_core,Granite,random_matched_core,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.03609823703300208,0.03684285231429385,0.3457404531654902,0.0007722731060850752,False,-486.2345376171671,0.0,512,10000,perplexity_bf16=1.0367576894878223; perplexity_static=1.0375299625939074; perplexity_method=1.4130358192453574
13_m26_stable_core,Granite,core_current_top1_union,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,4.493739586708401e-05,0.04951611763096586,5.866095665932325e-05,0.05071758947543281,False,0.9997293981866655,0.9997293981866655,512,10000,perplexity_bf16=1.000044938405567; perplexity_static=1.0507625278809998; perplexity_method=1.000058662677247
13_m26_stable_core,Granite,m26_core,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,4.493739586708401e-05,0.04951611763096586,4.920095579283301e-05,0.05071758947543281,False,0.9999159313236907,0.9999159313236907,512,10000,perplexity_bf16=1.000044938405567; perplexity_static=1.0507625278809998; perplexity_method=1.0000492021661798
13_m26_stable_core,Granite,random_matched_core,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,4.493739586708401e-05,0.04951611763096586,0.12348029414396276,0.05071758947543281,False,-1.5904774166944797,0.0,512,10000,perplexity_bf16=1.000044938405567; perplexity_static=1.0507625278809998; perplexity_method=1.1314277085708573
13_m26_stable_core,Granite,core_current_top1_union,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,3.24848918841214e-05,1.4442438338146957e-05,1.780829268266393e-05,-1.8042876893220594e-05,True,,,512,10000,perplexity_bf16=1.000032485419524; perplexity_static=1.0000144425426307; perplexity_method=1.0000178084512512
13_m26_stable_core,Granite,m26_core,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,3.24848918841214e-05,1.4442438338146957e-05,5.402311681870775e-05,-1.8042876893220594e-05,True,,,512,10000,perplexity_bf16=1.000032485419524; perplexity_static=1.0000144425426307; perplexity_method=1.0000540245760936
13_m26_stable_core,Granite,random_matched_core,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,3.24848918841214e-05,1.4442438338146957e-05,0.13070722455929956,-1.8042876893220594e-05,True,,,512,10000,perplexity_bf16=1.000032485419524; perplexity_static=1.0000144425426307; perplexity_method=1.1396340755952352
13_m26_stable_core,Granite,core_current_top1_union,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0009341512697222942,0.011591499201476396,0.02310058764056122,0.010724353235221251,False,-1.0919569202844368,0.0,512,10000,perplexity_bf16=1.000934587724914; perplexity_static=1.0116589409601353; perplexity_method=1.02336947269091
13_m26_stable_core,Granite,m26_core,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0009341512697222942,0.011591499201476396,0.04951858306258483,0.010724353235221251,False,-3.6464835360685814,0.0,512,10000,perplexity_bf16=1.000934587724914; perplexity_static=1.0116589409601353; perplexity_method=1.0507651184673534
13_m26_stable_core,Granite,random_matched_core,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0009341512697222942,0.011591499201476396,0.0221750052038594,0.010724353235221251,False,-1.0036742459955277,0.0,512,10000,perplexity_bf16=1.000934587724914; perplexity_static=1.0116589409601353; perplexity_method=1.0224226981072857
13_m26_stable_core,Granite,core_current_top1_union,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.0751182941668036,0.21070662349732472,0.20708616747137037,0.15653844809851214,False,0.02850132444607323,0.02850132444607323,512,10000,perplexity_bf16=1.0780116658341599; perplexity_static=1.234550113932672; perplexity_method=1.2300885608351315
13_m26_stable_core,Granite,m26_core,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.0751182941668036,0.21070662349732472,0.22536411643306642,0.15653844809851214,False,-0.11644855808986154,0.0,512,10000,perplexity_bf16=1.0780116658341599; perplexity_static=1.234550113932672; perplexity_method=1.2527787904993684
13_m26_stable_core,Granite,random_matched_core,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.0751182941668036,0.21070662349732472,0.3857263233318776,0.15653844809851214,False,-1.5084601469188903,0.0,512,10000,perplexity_bf16=1.0780116658341599; perplexity_static=1.234550113932672; perplexity_method=1.4706821243498087
13_m26_stable_core,Granite,core_current_top1_union,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.00010308439202888486,0.0008578192632036075,0.0004647683390125307,0.0007550975899679457,False,0.5208743082343466,0.5208743082343466,512,10000,perplexity_bf16=1.0001030897054073; perplexity_static=1.0008581872953752; perplexity_method=1.0004648763605513
