prompt_index,baseline_paroquant_recovery,tight_clip_recovery,tight_minus_baseline
0,-1.3234873631689785,-1.6102790408745657,-0.2867916777055872
1,0.5502815796567972,0.6278915137036594,0.07760993404686212
2,0.5445460847288931,0.4959039303537114,-0.04864215437518171
3,-0.05715573160535148,-0.1996918355250623,-0.14253610391971083
4,-0.31366806181612006,-0.2776452878836435,0.03602277393247655
5,0.32479488834483194,0.2879068214176125,-0.036888066927219465
6,0.34157172080582854,0.3930161643760297,0.05144444357020117
7,0.5387208646068149,0.9050341754170388,0.3663133108102239
8,0.18625445903439308,0.20355119248374565,0.017296733449352564
9,0.759693847269858,0.6943138796698658,-0.0653799675999922
10,0.4196592965744882,0.38662270332326254,-0.033036593251225654
11,0.6293281762813129,0.6452583216537318,0.01593014537241888
