prompt_index,baseline_paroquant_recovery,tight_clip_recovery,tight_minus_baseline
0,-0.24565629003349176,-1.1158775567360468,-0.8702212667025551
2,1.100102586446972,0.35247307750219636,-0.7476295089447756
3,0.19668829523546638,0.4249518004134878,0.2282635051780214
4,0.2932270712666981,1.0741818599572233,0.7809547886905251
5,0.7805076918731706,0.7969468593465829,0.01643916747341234
6,-3.056385366574048,-3.523978005971099,-0.46759263939705065
7,0.8755861127327814,0.6098164547056396,-0.2657696580271418
8,0.7562393091709771,0.8536206261832859,0.09738131701230879
9,0.8553979703329783,0.26458688424649635,-0.5908110860864819
10,-0.39784569620226584,0.5180029115380453,0.9158486077403112
11,0.7817605918937609,0.549268050557143,-0.2324925413366179
