source_family,split,surface,condition,source_rows,alt_source_accuracy,qwen_source_accuracy,alt_qwen_oracle_accuracy,packet_accuracy_mean,source_selected_correct_mean,packet_follows_source_mean,packet_minus_source_selected_correct_mean
phi3_mini_4k,test,full,matched_source_private_packet,1172,0.24573378839590443,0.3455631399317406,0.4880546075085324,0.24436860068259386,0.24573378839590446,0.9969283276450511,-0.0013651877133105728
phi3_mini_4k,test,qwen_disagreement,matched_source_private_packet,833,0.20048019207683074,0.34093637454981995,0.5414165666266506,0.2001200480192077,0.20048019207683074,0.9979591836734694,-0.00036014405762304914
phi3_mini_4k,test,qwen_disagreement,qwen_substituted_packet,833,0.20048019207683074,0.34093637454981995,0.5414165666266506,0.34021608643457385,0.34093637454981995,0.9955582232893156,-0.0007202881152461149
phi3_mini_4k,validation,full,matched_source_private_packet,299,0.27424749163879597,0.3879598662207358,0.5618729096989966,0.277257525083612,0.27424749163879597,0.9953177257525084,0.0030100334448160517
phi3_mini_4k,validation,qwen_disagreement,matched_source_private_packet,223,0.23318385650224216,0.38565022421524664,0.6188340807174888,0.23766816143497754,0.23318385650224216,0.9946188340807176,0.004484304932735414
phi3_mini_4k,validation,qwen_disagreement,qwen_substituted_packet,223,0.23318385650224216,0.38565022421524664,0.6188340807174888,0.3825112107623318,0.38565022421524664,0.9968609865470851,-0.003139013452914807
qwen2.5_1.5b,test,full,matched_source_private_packet,1172,0.4445392491467577,0.3455631399317406,0.5051194539249146,0.4424914675767918,0.4445392491467577,0.9960750853242321,-0.00204778156996589
qwen2.5_1.5b,test,qwen_disagreement,matched_source_private_packet,388,0.48195876288659795,0.18298969072164947,0.6649484536082474,0.4819587628865979,0.4819587628865979,0.9989690721649485,0.0
qwen2.5_1.5b,test,qwen_disagreement,qwen_substituted_packet,388,0.48195876288659795,0.18298969072164947,0.6649484536082474,0.18402061855670102,0.18298969072164947,0.9979381443298969,0.0010309278350515538
qwen2.5_1.5b,validation,full,matched_source_private_packet,299,0.43812709030100333,0.3879598662207358,0.5117056856187291,0.4374581939799331,0.4381270903010034,0.9979933110367893,-0.0006688963210702336
qwen2.5_1.5b,validation,qwen_disagreement,matched_source_private_packet,95,0.3894736842105263,0.23157894736842105,0.6210526315789474,0.3894736842105263,0.3894736842105263,1.0,0.0
qwen2.5_1.5b,validation,qwen_disagreement,qwen_substituted_packet,95,0.3894736842105263,0.23157894736842105,0.6210526315789474,0.23157894736842105,0.23157894736842105,1.0,0.0
tinyllama_1.1b,test,full,matched_source_private_packet,1172,0.32593856655290104,0.3455631399317406,0.454778156996587,0.3245733788395905,0.32593856655290104,0.9960750853242321,-0.0013651877133106006
tinyllama_1.1b,test,qwen_disagreement,matched_source_private_packet,473,0.27061310782241016,0.3192389006342495,0.5898520084566596,0.2693446088794926,0.27061310782241016,0.9966173361522198,-0.001268498942917562
tinyllama_1.1b,test,qwen_disagreement,qwen_substituted_packet,473,0.27061310782241016,0.3192389006342495,0.5898520084566596,0.3171247357293869,0.3192389006342495,0.9957716701902749,-0.002114164904862592
tinyllama_1.1b,validation,full,matched_source_private_packet,299,0.3177257525083612,0.3879598662207358,0.5050167224080268,0.3204013377926421,0.3177257525083612,0.9946488294314382,0.0026755852842809346
tinyllama_1.1b,validation,qwen_disagreement,matched_source_private_packet,144,0.24305555555555555,0.3888888888888889,0.6319444444444444,0.25,0.24305555555555552,0.9930555555555556,0.0069444444444444475
tinyllama_1.1b,validation,qwen_disagreement,qwen_substituted_packet,144,0.24305555555555555,0.3888888888888889,0.6319444444444444,0.3888888888888889,0.3888888888888889,1.0,0.0
