experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
02_m2_position_switching,Granite,m2_position_conditional,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0005688496668091458,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.0005690114924641
02_m2_position_switching,Granite,random_bin_assignment,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0007960047849026042,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.0007963216807894
02_m2_position_switching,Granite,static_3pct,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.00146511683746553,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.0014661906454934
02_m2_position_switching,Granite,m2_position_conditional,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,0.16170386386511382,0.02851820756108725,False,-4.245489018396695,0.0,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=1.1755120781683581
02_m2_position_switching,Granite,random_bin_assignment,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,0.10687689589394722,0.02851820756108725,False,-2.046373877710331,0.0,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=1.1127972561355348
02_m2_position_switching,Granite,static_3pct,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,0.5454230349278077,0.02851820756108725,False,-23.5253132132144,0.0,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=1.7253381062974413
02_m2_position_switching,Granite,m2_position_conditional,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,0.1562542800384108,0.04309938962615045,False,-2.6250894842734103,0.0,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=1.169123450052069
02_m2_position_switching,Granite,random_bin_assignment,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,0.04594188209011918,0.04309938962615045,False,0.20812676686773568,0.20812676686773568,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=1.0470135589489955
02_m2_position_switching,Granite,static_3pct,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,0.2972458767471835,0.04309938962615045,False,-6.732405070501039,0.0,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=1.3461462448204542
02_m2_position_switching,Granite,m2_position_conditional,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.00040124266054952784,0.0003411410087684752,0.000805543490123739,-6.012396517340868e-05,True,,,512,10000,perplexity_bf16=1.0004013231691533; perplexity_static=1.00034119920398; perplexity_method=1.000805868027418
02_m2_position_switching,Granite,random_bin_assignment,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.00040124266054952784,0.0003411410087684752,0.0025495648938989035,-6.012396517340868e-05,True,,,512,10000,perplexity_bf16=1.0004013231691533; perplexity_static=1.00034119920398; perplexity_method=1.0025528177983827
