prompt_index,prompt_id,no_gap,static_gap,recovery_m11b_top1,recovery_m11b_top10,recovery_m11b_top5,recovery_static_top10
0,opencompass_AIME2025_I_0,False,0.000901031373242267,0.29436930699994734,0.2544392881776635,0.6919755985924562,0.8144650015682393
1,opencompass_AIME2025_I_1,False,0.00038653818072731383,1.1671988298794922,1.2657413584115296,1.0185835611383882,1.0248801384890702
2,opencompass_AIME2025_I_2,False,11.522734621157499,0.09981975554045164,0.7573360464790251,0.45253936263550354,0.6748554883752114
3,opencompass_AIME2025_I_3,True,-0.0596917660039753,,,,
4,opencompass_AIME2025_I_4,True,-2.7988838805947935e-05,,,,
5,opencompass_AIME2025_I_5,False,3.8648253167323223,-0.5325671049426282,0.9063355275658721,0.8979978932339456,0.8557633919378177
6,opencompass_AIME2025_I_6,False,0.0009077072218326432,-0.40846738692671747,-0.17291242211953595,0.46093300390525227,0.17637425772035997
7,opencompass_AIME2025_I_7,False,0.01302409084494327,-0.7070780800819352,0.8721435513278354,0.7600807460306077,0.4834952375404383
8,opencompass_AIME2025_I_8,False,2.515964296511547,-0.607135299698778,0.8903898449104262,0.2688963438017088,0.3165935076461148
9,opencompass_AIME2025_I_9,False,0.0003033295450503015,0.03198511676483584,0.38580840707786923,-0.025488332376674805,-0.2645222384841701
10,opencompass_AIME2025_I_10,False,2.1339681134840838,-0.23839560957508987,0.9547146848501968,0.4228792409734431,0.6955790739702656
11,opencompass_AIME2025_I_11,False,0.0006117823281739376,0.10604343948230965,0.06186762445127969,0.3561058164786124,0.5139119988606341
