row_id,contribution,method,surface,status,accuracy,target_accuracy,best_control_accuracy,matched_minus_target,matched_minus_best_control,mean_payload_bytes,mean_payload_tokens,p50_latency_ms,p95_latency_ms,valid_rate,ci95_low_vs_target,ci95_low_vs_comparator,comparator,note
wyner_ziv_cross::core_to_holdout::budget2,learned Wyner-Ziv cross-family falsification,2-byte scalar WZ packet,core_to_holdout,fail,0.126953125,0.25,0.623046875,-0.123046875,-0.49609375,2.0,,,,,,,QJL / canonical RASP / source controls,raw_sign=0.283; qjl=0.252; canonical_rasp=0.125; canonical_pass=False
wyner_ziv_cross::core_to_holdout::budget4,learned Wyner-Ziv cross-family falsification,4-byte scalar WZ packet,core_to_holdout,fail,0.173828125,0.25,0.529296875,-0.076171875,-0.35546875,4.0,,,,,,,QJL / canonical RASP / source controls,raw_sign=0.365; qjl=0.131; canonical_rasp=0.207; canonical_pass=False
wyner_ziv_cross::core_to_holdout::budget6,learned Wyner-Ziv cross-family falsification,6-byte scalar WZ packet,core_to_holdout,fail,0.146484375,0.25,0.583984375,-0.103515625,-0.4375,6.0,,,,,,,QJL / canonical RASP / source controls,raw_sign=0.326; qjl=0.131; canonical_rasp=0.207; canonical_pass=False
wyner_ziv_cross::holdout_to_core::budget2,learned Wyner-Ziv cross-family falsification,2-byte scalar WZ packet,holdout_to_core,fail,0.328125,0.25,0.275390625,0.078125,0.052734375,2.0,,,,,,,QJL / canonical RASP / source controls,raw_sign=0.246; qjl=0.381; canonical_rasp=0.375; canonical_pass=False
wyner_ziv_cross::holdout_to_core::budget4,learned Wyner-Ziv cross-family falsification,4-byte scalar WZ packet,holdout_to_core,fail,0.337890625,0.25,0.25,0.087890625,0.087890625,4.0,,,,,,,QJL / canonical RASP / source controls,raw_sign=0.129; qjl=0.414; canonical_rasp=0.498; canonical_pass=True
wyner_ziv_cross::holdout_to_core::budget6,learned Wyner-Ziv cross-family falsification,6-byte scalar WZ packet,holdout_to_core,pass,0.623046875,0.25,0.25,0.373046875,0.373046875,6.0,,,,,,,QJL / canonical RASP / source controls,raw_sign=0.109; qjl=0.564; canonical_rasp=0.498; canonical_pass=True
protected_residual::remap101::budget2,protected rotated residual packet ablation,2-byte protected residual packet,remap 101,near-miss,0.4296875,0.25,0.279296875,0.1796875,0.150390625,2.0,1.0,3.562083002179861,13.580207989434712,,,,scalar WZ / QJL residual / canonical RASP,scalar=0.418; qjl=0.396; canonical_rasp=0.350; protected_minus_scalar=0.012; strict_codec_pass=False
protected_residual::remap101::budget4,protected rotated residual packet ablation,4-byte protected residual packet,remap 101,near-miss,0.447265625,0.25,0.263671875,0.197265625,0.18359375,4.0,1.0,3.824146006081719,14.389374991878867,,,,scalar WZ / QJL residual / canonical RASP,scalar=0.432; qjl=0.461; canonical_rasp=0.494; protected_minus_scalar=0.016; strict_codec_pass=False
protected_residual::remap101::budget6,protected rotated residual packet ablation,6-byte protected residual packet,remap 101,near-miss,0.447265625,0.25,0.263671875,0.197265625,0.18359375,6.0,1.0,6.681749997369479,22.42850000038743,,,,scalar WZ / QJL residual / canonical RASP,scalar=0.463; qjl=0.447; canonical_rasp=0.494; protected_minus_scalar=-0.016; strict_codec_pass=False
protected_residual::remap103::budget2,protected rotated residual packet ablation,2-byte protected residual packet,remap 103,near-miss,0.4375,0.25,0.265625,0.1875,0.171875,2.0,1.0,3.9053334985510446,14.366582996444777,,,,scalar WZ / QJL residual / canonical RASP,scalar=0.436; qjl=0.439; canonical_rasp=0.363; protected_minus_scalar=0.002; strict_codec_pass=False
