experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
09_paroquant_granite,Granite,paroquant_w4a16,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0015209233843729297,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.0015220805749352
09_paroquant_granite,Granite,paroquant_w4a16,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,0.009714383946629823,0.02851820756108725,False,1.5665998401790793,1.0,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=1.0097617217360115
09_paroquant_granite,Granite,paroquant_w4a16,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,0.03481039703183342,0.04309938962615045,False,0.4770444524050311,0.4770444524050311,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=1.035423370842661
09_paroquant_granite,Granite,paroquant_w4a16,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.00040124266054952784,0.0003411410087684752,0.001403224925235591,-6.012396517340868e-05,True,,,512,10000,perplexity_bf16=1.0004013231691533; perplexity_static=1.00034119920398; perplexity_method=1.0014042099059937
09_paroquant_granite,Granite,paroquant_w4a16,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.03609823703300208,0.03684285231429385,0.0562817665777402,0.0007722731060850752,False,-26.3711874060621,0.0,512,10000,perplexity_bf16=1.0367576894878223; perplexity_static=1.0375299625939074; perplexity_method=1.0578957214031386
09_paroquant_granite,Granite,paroquant_w4a16,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,4.493739586708401e-05,0.04951611763096586,0.0001719059856206684,0.05071758947543281,False,0.9974962856466989,0.9974962856466989,512,10000,perplexity_bf16=1.000044938405567; perplexity_static=1.0507625278809998; perplexity_method=1.0001719207623014
09_paroquant_granite,Granite,paroquant_w4a16,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,3.24848918841214e-05,1.4442438338146957e-05,1.5405948929986257e-05,-1.8042876893220594e-05,True,,,512,10000,perplexity_bf16=1.000032485419524; perplexity_static=1.0000144425426307; perplexity_method=1.0000154060676023
09_paroquant_granite,Granite,paroquant_w4a16,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0009341512697222942,0.011591499201476396,0.005594814072788168,0.010724353235221251,False,0.5639917441607243,0.5639917441607243,512,10000,perplexity_bf16=1.000934587724914; perplexity_static=1.0116589409601353; perplexity_method=1.0056104942740072
09_paroquant_granite,Granite,paroquant_w4a16,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.0751182941668036,0.21070662349732472,0.10489620191173485,0.15653844809851214,False,0.7918488316283542,0.7918488316283542,512,10000,perplexity_bf16=1.0780116658341599; perplexity_static=1.234550113932672; perplexity_method=1.1105953267009494
09_paroquant_granite,Granite,paroquant_w4a16,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.00010308439202888486,0.0008578192632036075,0.00010023829999639133,0.0007550975899679457,False,1.003769554323054,1.0,512,10000,perplexity_bf16=1.0001030897054073; perplexity_static=1.0008581872953752; perplexity_method=1.0001002433240227
09_paroquant_granite,Granite,paroquant_w4a16,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.020703398236064152,0.14321868602370302,0.05708740362405944,0.13306293354753373,False,0.7157048661540011,0.7157048661540011,512,10000,perplexity_bf16=1.0209192002909848; perplexity_static=1.1539821338385186; perplexity_method=1.0587483447938222
09_paroquant_granite,Granite,paroquant_w4a16,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,0.0013811333269134751,0.000189867078984704,0.000550179484302582,-0.0011922024259112263,True,,,512,10000,perplexity_bf16=1.0013820875307906; perplexity_static=1.0001898851048794; perplexity_method=1.0005503308607953
