row_id,source,contribution,method,surface,budget_bytes,accuracy,target_accuracy,best_control_accuracy,oracle_accuracy,oracle_headroom_vs_target,matched_minus_target,matched_minus_best_control,status,reviewer_bucket,evidence_complete,claim_status,failure_or_boundary_reason
wyner_ziv_cross::holdout_to_core::budget6,results/source_private_pass_fail_ledger_20260429/pass_fail_ledger.json,learned Wyner-Ziv cross-family falsification,6-byte scalar WZ packet,holdout_to_core,6.0,0.623046875,0.25,0.25,,,0.373046875,0.373046875,pass,positive_needs_more_evidence,False,asymmetric_or_incomplete_not_claimed,"valid_rate,ci95_low_vs_target,ci95_low_vs_comparator"
candidate_embedding_receiver_heldout_anchor_relative_code_similarity_budget8_seed29_30,results/source_private_pass_fail_ledger_20260429/pass_fail_ledger.json,learned target-preserving receiver,8-byte candidate-embedding receiver,heldout-family anchor-relative code-similarity seed29->30,8.0,0.28125,0.25,0.2578125,0.756,0.506,0.03125,0.0234375,fail,failed_or_pruned,True,negative_boundary,insufficient matched-control delta (0.023)
candidate_embedding_receiver_heldout_anchor_relative_ridge_budget8_seed29_30,results/source_private_pass_fail_ledger_20260429/pass_fail_ledger.json,learned target-preserving receiver,8-byte candidate-embedding receiver,heldout-family anchor-relative ridge seed29->30,8.0,0.302734375,0.25,0.4375,0.342,0.09200000000000003,0.052734375,-0.134765625,fail,failed_or_pruned,True,negative_boundary,insufficient matched-control delta (-0.135)
candidate_embedding_receiver_heldout_code_similarity_budget8_seed29_30,results/source_private_pass_fail_ledger_20260429/pass_fail_ledger.json,learned target-preserving receiver,8-byte candidate-embedding receiver,heldout-family core-train/holdout-eval code-similarity seed29->30,8.0,0.255859375,0.25,0.28515625,1.0,0.75,0.005859375,-0.029296875,fail,failed_or_pruned,True,negative_boundary,insufficient matched-control delta (-0.029)
candidate_embedding_receiver_heldout_core_to_holdout_budget8_seed29_30,results/source_private_pass_fail_ledger_20260429/pass_fail_ledger.json,learned target-preserving receiver,8-byte candidate-embedding receiver,heldout-family core-train/holdout-eval seed29->30,8.0,0.453125,0.25,0.310546875,0.809,0.559,0.203125,0.142578125,fail,failed_or_pruned,True,negative_boundary,insufficient matched-control delta (0.143)
masked_innovation_anchor_relative_core_to_holdout::budget4,results/source_private_masked_innovation_receiver_20260429/core_to_holdout_seed29_30/summary.json,masked innovation receiver cross-family boundary,4-byte masked innovation receiver,core -> holdout,4.0,0.2578125,0.2578125,0.2578125,1.0,0.7421875,0.0,0.0,fail,failed_or_pruned,True,negative_boundary,full diagnostic oracle is high but learned source-private packet stays at target/control floor
masked_innovation_shared_text_core_to_holdout::budget4,results/source_private_masked_innovation_receiver_20260429/core_to_holdout_shared_text_seed29_30/summary.json,masked innovation receiver cross-family boundary,4-byte masked innovation receiver,core -> holdout,4.0,0.265625,0.25,0.25,1.0,0.75,0.015625,0.015625,fail,failed_or_pruned,True,negative_boundary,full diagnostic oracle is high but learned source-private packet stays at target/control floor
masked_innovation_anchor_relative_core_to_holdout::budget8,results/source_private_masked_innovation_receiver_20260429/core_to_holdout_seed29_30/summary.json,masked innovation receiver cross-family boundary,8-byte masked innovation receiver,core -> holdout,8.0,0.25,0.25,0.25,1.0,0.75,0.0,0.0,fail,failed_or_pruned,True,negative_boundary,full diagnostic oracle is high but learned source-private packet stays at target/control floor
masked_innovation_shared_text_core_to_holdout::budget8,results/source_private_masked_innovation_receiver_20260429/core_to_holdout_shared_text_seed29_30/summary.json,masked innovation receiver cross-family boundary,8-byte masked innovation receiver,core -> holdout,8.0,0.25,0.25,0.25,1.0,0.75,0.0,0.0,fail,failed_or_pruned,True,negative_boundary,full diagnostic oracle is high but learned source-private packet stays at target/control floor
masked_innovation_anchor_relative_core_to_holdout::budget12,results/source_private_masked_innovation_receiver_20260429/core_to_holdout_seed29_30/summary.json,masked innovation receiver cross-family boundary,12-byte masked innovation receiver,core -> holdout,12.0,0.25,0.25,0.25,1.0,0.75,0.0,0.0,fail,failed_or_pruned,True,negative_boundary,full diagnostic oracle is high but learned source-private packet stays at target/control floor
