experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
05_m11b_granite,Granite,m11b_top1,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0007367033216225671,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.0007369747541657
05_m11b_granite,Granite,m11b_top10,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0008026155822562497,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.000802937764333
05_m11b_granite,Granite,m11b_top5,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0008102262545932604,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.0008105545765509
05_m11b_granite,Granite,static_top10,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.001819146224052437,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.001820801874349
05_m11b_granite,Granite,m11b_top1,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,0.11142440975527279,0.02851820756108725,False,-2.2242246299316113,0.0,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=1.1178692408022768
05_m11b_granite,Granite,m11b_top10,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,0.054663657283526845,0.02851820756108725,False,-0.0612581819027076,0.0,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=1.0561853146897209
05_m11b_granite,Granite,m11b_top5,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,0.015289054608729202,0.02851820756108725,False,1.3686628418925668,1.0,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=1.0154065301371649
05_m11b_granite,Granite,static_top10,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,0.9465080787194893,0.02851820756108725,False,-53.37845888236424,0.0,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=2.5766963108416294
05_m11b_granite,Granite,m11b_top1,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,0.07950014654488768,0.04309938962615045,False,-0.6209373930015021,0.0,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=1.0827457182002769
05_m11b_granite,Granite,m11b_top10,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,0.04459655378741445,0.04309938962615045,False,0.2407868558365348,0.2407868558365348,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=1.0456059290493045
05_m11b_granite,Granite,m11b_top5,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,0.012768366772434092,0.04309938962615045,False,1.00079062654749,1.0,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=1.0128502304180895
05_m11b_granite,Granite,static_top10,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,0.07734136843646411,0.04309938962615045,False,-0.5667629228783271,0.0,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=1.080410831604648
05_m11b_granite,Granite,m11b_top1,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.00040124266054952784,0.0003411410087684752,0.0005069171349156854,-6.012396517340868e-05,True,,,512,10000,perplexity_bf16=1.0004013231691533; perplexity_static=1.00034119920398; perplexity_method=1.0005070456391192
05_m11b_granite,Granite,m11b_top10,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.00040124266054952784,0.0003411410087684752,0.00105266998989606,-6.012396517340868e-05,True,,,512,10000,perplexity_bf16=1.0004013231691533; perplexity_static=1.00034119920398; perplexity_method=1.001053224241414
05_m11b_granite,Granite,m11b_top5,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.00040124266054952784,0.0003411410087684752,0.0016604539222688786,-6.012396517340868e-05,True,,,512,10000,perplexity_bf16=1.0004013231691533; perplexity_static=1.00034119920398; perplexity_method=1.001661833239208
05_m11b_granite,Granite,static_top10,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.00040124266054952784,0.0003411410087684752,0.0022835898482425065,-6.012396517340868e-05,True,,,512,10000,perplexity_bf16=1.0004013231691533; perplexity_static=1.00034119920398; perplexity_method=1.002286199225411
05_m11b_granite,Granite,m11b_top1,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.03609823703300208,0.03684285231429385,0.3994013157207519,0.0007722731060850752,False,-587.1004270116848,0.0,512,10000,perplexity_bf16=1.0367576894878223; perplexity_static=1.0375299625939074; perplexity_method=1.4909318329460952
05_m11b_granite,Granite,m11b_top10,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.03609823703300208,0.03684285231429385,0.04461688360970584,0.0007722731060850752,False,-10.484922484541741,0.0,512,10000,perplexity_bf16=1.0367576894878223; perplexity_static=1.0375299625939074; perplexity_method=1.0456271862481057
05_m11b_granite,Granite,m11b_top5,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.03609823703300208,0.03684285231429385,0.038867058836331125,0.0007722731060850752,False,-2.722226022567281,0.0,512,10000,perplexity_bf16=1.0367576894878223; perplexity_static=1.0375299625939074; perplexity_method=1.039632264539821
05_m11b_granite,Granite,static_top10,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.03609823703300208,0.03684285231429385,0.43205984064843506,0.0007722731060850752,False,-651.1910437055519,0.0,512,10000,perplexity_bf16=1.0367576894878223; perplexity_static=1.0375299625939074; perplexity_method=1.540427292571176
05_m11b_granite,Granite,m11b_top1,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,4.493739586708401e-05,0.04951611763096586,0.00021661037876333222,0.05071758947543281,False,0.9966146767483571,0.9966146767483571,512,10000,perplexity_bf16=1.000044938405567; perplexity_static=1.0507625278809998; perplexity_method=1.0002166338404854
