experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
04_m11_ema_top1,Granite,m11_alpha_0_1,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0005319706949562519,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.0005321122164603
04_m11_ema_top1,Granite,m11_alpha_0_3,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0006708205388716859,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.0006710455892893
04_m11_ema_top1,Granite,m11_alpha_0_5,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0006641731544252405,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.0006643937662536
04_m11_ema_top1,Granite,random_walk_protection,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0025142913865714434,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.0025174548679088
04_m11_ema_top1,Granite,m11_alpha_0_1,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,0.14925318310270086,0.02851820756108725,False,-3.7354573505297353,0.0,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=1.1609668892014007
04_m11_ema_top1,Granite,m11_alpha_0_3,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,0.1261350494751241,0.02851820756108725,False,-2.8051209573365323,0.0,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=1.1344353628386836
04_m11_ema_top1,Granite,m11_alpha_0_5,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,0.07646962250873912,0.02851820756108725,False,-0.8777219630603719,0.0,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=1.0794693982668853
04_m11_ema_top1,Granite,random_walk_protection,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.02558990120633098,0.053008247101388406,0.14988654603075702,0.02851820756108725,False,-3.761249514922784,0.0,512,10000,perplexity_bf16=1.0259201335823174; perplexity_static=1.0544383411434046; perplexity_method=1.1617024354990113
04_m11_ema_top1,Granite,m11_alpha_0_1,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,0.14032851814408787,0.04309938962615045,False,-2.1965056118913786,0.0,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=1.1506517467487916
04_m11_ema_top1,Granite,m11_alpha_0_3,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,0.060353888671670575,0.04309938962615045,False,-0.14451920217606307,0.0,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=1.0622123849689056
04_m11_ema_top1,Granite,m11_alpha_0_5,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,0.046640235668746755,0.04309938962615045,False,0.19115573677624775,0.19115573677624775,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=1.0477449999872657
04_m11_ema_top1,Granite,random_walk_protection,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,0.027858331846800866,0.04309938962615045,False,0.643482239144803,0.643482239144803,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=1.0282500038234494
