experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
03_m10_position_bins,Granite,m10_position_binned,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,3.24848918841214e-05,,0.6035708026654821,1.7502232142848164,False,0.5265721735950848,0.5265721735950848,512,10000,perplexity_bf16=1.000032485419524; perplexity_static=None; perplexity_method=1.8286368574818088
03_m10_position_bins,Granite,midpoint_matched_cost,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,3.24848918841214e-05,,1.3039509596947267,1.7502232142848164,False,-0.5333987575433259,0.0,512,10000,perplexity_bf16=1.000032485419524; perplexity_static=None; perplexity_method=3.6838225876273474
03_m10_position_bins,Granite,random_bin_assignment,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,3.24848918841214e-05,,2.778300693845326e-05,1.7502232142848164,False,1.000002686529693,1.0,512,10000,perplexity_bf16=1.000032485419524; perplexity_static=None; perplexity_method=1.0000277833928897
03_m10_position_bins,Granite,m10_position_binned,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0009341512697222942,,0.5947271561745735,1.6792907318923183,False,0.5166996786194837,0.5166996786194837,512,10000,perplexity_bf16=1.000934587724914; perplexity_static=None; perplexity_method=1.8125363381397939
03_m10_position_bins,Granite,midpoint_matched_cost,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0009341512697222942,,1.0344177987725445,1.6792907318923183,False,-0.07934447096011854,0.0,512,10000,perplexity_bf16=1.000934587724914; perplexity_static=None; perplexity_method=2.8134677543274584
03_m10_position_bins,Granite,random_bin_assignment,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0009341512697222942,,0.09974189848288795,1.6792907318923183,False,0.9380981989038577,0.9380981989038577,512,10000,perplexity_bf16=1.000934587724914; perplexity_static=None; perplexity_method=1.1048857085931076
03_m10_position_bins,Granite,m10_position_binned,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.0751182941668036,,0.5692970916902802,0.9055951255645591,False,0.23916011330535802,0.23916011330535802,512,10000,perplexity_bf16=1.0780116658341599; perplexity_static=None; perplexity_method=1.7670245585599191
03_m10_position_bins,Granite,midpoint_matched_cost,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.0751182941668036,,0.6049794713737868,0.9055951255645591,False,0.1682784844101014,0.1682784844101014,512,10000,perplexity_bf16=1.0780116658341599; perplexity_static=None; perplexity_method=1.8312146161795395
03_m10_position_bins,Granite,random_bin_assignment,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.0751182941668036,,0.20402544889980806,0.9055951255645591,False,0.836220743938372,0.836220743938372,512,10000,perplexity_bf16=1.0780116658341599; perplexity_static=None; perplexity_method=1.22632936179216
03_m10_position_bins,Granite,m10_position_binned,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.00010308439202888486,,0.17036424571313802,0.11047777109897394,False,-0.6802799388411072,0.0,512,10000,perplexity_bf16=1.0001030897054073; perplexity_static=None; perplexity_method=1.185736672170893
03_m10_position_bins,Granite,midpoint_matched_cost,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.00010308439202888486,,0.17748107345548902,0.11047777109897394,False,-0.7569359326281155,0.0,512,10000,perplexity_bf16=1.0001030897054073; perplexity_static=None; perplexity_method=1.1942054555058585
03_m10_position_bins,Granite,random_bin_assignment,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.00010308439202888486,,0.001198089225790011,0.11047777109897394,False,0.9900820092124237,0.9900820092124237,512,10000,perplexity_bf16=1.0001030897054073; perplexity_static=None; perplexity_method=1.0011988072213989
03_m10_position_bins,Granite,m10_position_binned,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.020703398236064152,,0.31120223524272417,0.675250740798057,False,0.49034331028047784,0.49034331028047784,512,10000,perplexity_bf16=1.0209192002909848; perplexity_static=None; perplexity_method=1.3650652575767777
03_m10_position_bins,Granite,midpoint_matched_cost,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.020703398236064152,,0.3767311917179563,0.675250740798057,False,0.3534353409530707,0.3534353409530707,512,10000,perplexity_bf16=1.0209192002909848; perplexity_static=None; perplexity_method=1.457512465286267
03_m10_position_bins,Granite,random_bin_assignment,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.020703398236064152,,0.12196514719861462,0.675250740798057,False,0.8388812917826843,0.8388812917826843,512,10000,perplexity_bf16=1.0209192002909848; perplexity_static=None; perplexity_method=1.1297147273711532
03_m10_position_bins,Granite,m10_position_binned,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,0.0013811333269134751,,0.6479316857528008,1.1816735445220679,False,0.22973574236273475,0.22973574236273475,512,10000,perplexity_bf16=1.0013820875307906; perplexity_static=None; perplexity_method=1.911582983071677
03_m10_position_bins,Granite,midpoint_matched_cost,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,0.0013811333269134751,,0.8799186770757975,1.1816735445220679,False,-0.1926488258770891,0.0,512,10000,perplexity_bf16=1.0013820875307906; perplexity_static=None; perplexity_method=2.410703652975053
03_m10_position_bins,Granite,random_bin_assignment,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,0.0013811333269134751,,0.0002038110167098539,1.1816735445220679,False,1.0009971076602895,1.0,512,10000,perplexity_bf16=1.0013820875307906; perplexity_static=None; perplexity_method=1.0002038317875863
