trace_id,prompt_id,task,included_flag,exclusion_reason,L_bf16,L_static,L_m11b_top10,L_paroquant,recoverable_gap,no_gap_flag,recovery_m11b_top10,recovery_paroquant,margin_paroquant_minus_m11b,tokens_generated,final_decode_position
nemotron_trace_0,opencompass_AIME2025_I_0,AIME-2025,true,,1.0001133680353622,1.0010143994086045,1.000785141627371,1.0001493604859824,0.000901031373242267,false,0.2544392881776635,0.9600541649392053,0.7056148767615418,10000,10000
nemotron_trace_1,opencompass_AIME2025_I_1,AIME-2025,true,,1.0003957748502124,1.0007823130309397,1.000293055668988,1.0002100173832738,0.00038653818072731383,false,1.2657413584115296,1.480566930255336,0.21482557184380635,10000,10000
nemotron_trace_2,opencompass_AIME2025_I_2,AIME-2025,true,,1.56990537744792,13.092639998605419,4.366057715991012,1.9950612687348621,11.522734621157499,false,0.7573360464790251,0.963102865312346,0.20576681883332093,10000,10000
nemotron_trace_3,opencompass_AIME2025_I_3,AIME-2025,false,no positive static-1pct recoverable gap,1.1771419150797253,1.11745014907575,1.0873602473996675,2.118778532129932,-0.0596917660039753,true,,,,10000,10000
nemotron_trace_4,opencompass_AIME2025_I_4,AIME-2025,false,no positive static-1pct recoverable gap,1.0000845193853583,1.0000565305465523,1.000251498603787,1.000061310593747,-2.7988838805947935e-05,true,,,,10000,10000
nemotron_trace_5,opencompass_AIME2025_I_5,AIME-2025,true,,1.5060258652533087,5.370851181985631,1.868022689595103,1.4532260941097863,3.8648253167323223,false,0.9063355275658721,1.0136616190426335,0.10732609147676142,10000,10000
nemotron_trace_6,opencompass_AIME2025_I_6,AIME-2025,true,,1.0002135038379871,1.0011212110598198,1.0012781649141222,1.0001745566105091,0.0009077072218326432,false,-0.17291242211953595,1.0429072574737905,1.2158196795933265,10000,10000
nemotron_trace_7,opencompass_AIME2025_I_7,AIME-2025,true,,1.002540707585912,1.0155647984308553,1.0042059215885302,1.0023611995011859,0.01302409084494327,false,0.8721435513278354,1.0137827727757225,0.1416392214478871,10000,10000
nemotron_trace_8,opencompass_AIME2025_I_8,AIME-2025,true,,1.3556697717116517,3.871634068223199,1.6314450084521128,1.226693035182367,2.515964296511547,false,0.8903898449104262,1.0512633413391892,0.16087349642876303,10000,10000
nemotron_trace_9,opencompass_AIME2025_I_9,AIME-2025,true,,1.000390529646491,1.0006938591915413,1.0005768321029458,1.000101888068051,0.0003033295450503015,false,0.38580840707786923,1.9515775273131757,1.5657691202353066,10000,10000
nemotron_trace_10,opencompass_AIME2025_I_10,AIME-2025,true,,1.4371225287379676,3.5710906422220514,1.5337599472767254,1.2161889111632145,2.1339681134840838,false,0.9547146848501968,1.1035318270121852,0.14881714216198838,10000,10000
nemotron_trace_11,opencompass_AIME2025_I_11,AIME-2025,true,,1.0001887083115404,1.0008004906397143,1.000762641120389,1.0001070122199158,0.0006117823281739376,false,0.06186762445127969,1.1335378415856008,1.071670217134321,10000,10000
