prompt_index,prompt_id,no_gap,static_gap,recovery_m11b_top10,recovery_paroquant_m11b_top10,recovery_paroquant_random_top10,recovery_paroquant_w4a16
0,opencompass_AIME2025_I_0,True,-0.0011893337179100794,,,,
1,opencompass_AIME2025_I_1,False,0.02851820756108725,-0.0612581819027076,0.4342031003166221,0.8833329731445667,1.5665998401790793
2,opencompass_AIME2025_I_2,False,0.04309938962615045,0.2407868558365348,0.002901803049757512,0.6492189599214141,0.4770444524050311
3,opencompass_AIME2025_I_3,True,-6.012396517340868e-05,,,,
4,opencompass_AIME2025_I_4,False,0.0007722731060850752,-10.484922484541741,-127.88933753374991,-49.35106461595956,-26.3711874060621
5,opencompass_AIME2025_I_5,False,0.05071758947543281,1.0001762465103397,0.9993241656016156,0.9968244491360225,0.9974962856466989
6,opencompass_AIME2025_I_6,True,-1.8042876893220594e-05,,,,
7,opencompass_AIME2025_I_7,False,0.010724353235221251,-0.7273570722179588,0.3924785904446715,0.6401053517037971,0.5639917441607243
8,opencompass_AIME2025_I_8,False,0.15653844809851214,0.24072595270878616,0.8651359763305162,0.878352276543877,0.7918488316283542
9,opencompass_AIME2025_I_9,False,0.0007550975899679457,0.49489073844630693,1.004943593426988,1.0483298852677747,1.003769554323054
10,opencompass_AIME2025_I_10,False,0.13306293354753373,0.3764044722712442,0.6948933345805925,0.7175710971788718,0.7157048661540011
11,opencompass_AIME2025_I_11,True,-0.0011922024259112263,,,,
