experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
12_m18_activation_k,Granite,m18_activation_k,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,4.493739586708401e-05,,8.802614049534252e-05,0.05071758947543281,False,0.9991503616439881,0.9991503616439881,512,10000,perplexity_bf16=1.000044938405567; perplexity_static=None; perplexity_method=1.0000880300149098
12_m18_activation_k,Granite,m18_activation_kv,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,4.493739586708401e-05,,0.0002744033307423843,0.05071758947543281,False,0.9954748918553319,0.9954748918553319,512,10000,perplexity_bf16=1.000044938405567; perplexity_static=None; perplexity_method=1.0002744409827802
12_m18_activation_k,Granite,random_coupled_activation_k,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,4.493739586708401e-05,,0.1220233708230537,0.05071758947543281,False,-1.5579994693820614,0.0,512,10000,perplexity_bf16=1.000044938405567; perplexity_static=None; perplexity_method=1.1297805053720613
12_m18_activation_k,Granite,kivi_key_only,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,3.24848918841214e-05,,0.12762477519401283,-1.8042876893220594e-05,True,,,512,10000,perplexity_bf16=1.000032485419524; perplexity_static=None; perplexity_method=1.1361266198168485
12_m18_activation_k,Granite,m18_activation_k,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,3.24848918841214e-05,,0.0015949825146741592,-1.8042876893220594e-05,True,,,512,10000,perplexity_bf16=1.000032485419524; perplexity_static=None; perplexity_method=1.0015962551758193
12_m18_activation_k,Granite,m18_activation_kv,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,3.24848918841214e-05,,0.0018896143797515613,-1.8042876893220594e-05,True,,,512,10000,perplexity_bf16=1.000032485419524; perplexity_static=None; perplexity_method=1.001891400826058
12_m18_activation_k,Granite,random_coupled_activation_k,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,3.24848918841214e-05,,0.11742903171978278,-1.8042876893220594e-05,True,,,512,10000,perplexity_bf16=1.000032485419524; perplexity_static=None; perplexity_method=1.1246018160548246
12_m18_activation_k,Granite,kivi_key_only,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0009341512697222942,,0.030087501603137667,0.010724353235221251,False,-1.7610165338461812,0.0,512,10000,perplexity_bf16=1.000934587724914; perplexity_static=None; perplexity_method=1.0305447043221667
12_m18_activation_k,Granite,m18_activation_k,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0009341512697222942,,0.15062736994773906,0.010724353235221251,False,-14.071191710978855,0.0,512,10000,perplexity_bf16=1.000934587724914; perplexity_static=None; perplexity_method=1.1625633713091899
12_m18_activation_k,Granite,m18_activation_kv,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0009341512697222942,,0.10137978636955314,0.010724353235221251,False,-8.861879807739966,0.0,512,10000,perplexity_bf16=1.000934587724914; perplexity_static=None; perplexity_method=1.1066968703464133
