method_id,paper,split,status,source_path,matched_condition,matched_accuracy,best_baseline_condition,best_baseline_accuracy,delta_vs_best_baseline,ci95_low_vs_best_baseline,ci95_high_vs_best_baseline,paired_n,regime,n,median_recovery,cvar25_recovery,worst_recovery,no_gap_rows,total_rows,note
L_SCORECOMP_wz_bins_deployable,latentwire,dev,AMBIGUOUS,results/source_private_wyner_ziv_cross_family_gate_20260429/core_to_holdout/predictions_budget4.jsonl,matched_learned_syndrome,0.2195945945945946,qjl_constrained_shuffled_source,0.5709459459459459,-0.35135135135135137,-0.40540540540540543,-0.30405405405405406,296,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,gate,KILLED,results/source_private_wyner_ziv_cross_family_gate_20260429/core_to_holdout/predictions_budget4.jsonl,matched_learned_syndrome,0.2636363636363636,qjl_constrained_shuffled_source,0.5727272727272728,-0.3090909090909091,-0.4,-0.21818181818181817,110,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,dev,AMBIGUOUS,results/source_private_wyner_ziv_cross_family_gate_20260429/core_to_holdout/predictions_budget6.jsonl,matched_learned_syndrome,0.250814332247557,qjl_constrained_shuffled_source,0.6091205211726385,-0.3583061889250814,-0.41042345276872966,-0.30293159609120524,307,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,gate,KILLED,results/source_private_wyner_ziv_cross_family_gate_20260429/core_to_holdout/predictions_budget6.jsonl,matched_learned_syndrome,0.21621621621621623,qjl_constrained_shuffled_source,0.6396396396396397,-0.42342342342342343,-0.5225225225225225,-0.32432432432432434,111,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,dev,AMBIGUOUS,results/source_private_wyner_ziv_cross_family_gate_20260429/holdout_to_core/predictions_budget2.jsonl,matched_learned_syndrome,0.12080536912751678,relative_canonical_score_source,0.37919463087248323,-0.25838926174496646,-0.3087248322147651,-0.21140939597315436,298,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,gate,KILLED,results/source_private_wyner_ziv_cross_family_gate_20260429/holdout_to_core/predictions_budget2.jsonl,matched_learned_syndrome,0.125,qjl_constrained_shuffled_source,0.4375,-0.3125,-0.45535714285714285,-0.1875,112,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,dev,AMBIGUOUS,results/source_private_wyner_ziv_cross_family_gate_20260429/holdout_to_core/predictions_budget4.jsonl,matched_learned_syndrome,0.1456953642384106,relative_canonical_score_source,0.5033112582781457,-0.3576158940397351,-0.4139072847682119,-0.3079470198675497,302,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,gate,KILLED,results/source_private_wyner_ziv_cross_family_gate_20260429/holdout_to_core/predictions_budget4.jsonl,matched_learned_syndrome,0.14678899082568808,relative_canonical_score_source,0.5504587155963303,-0.4036697247706422,-0.4954128440366973,-0.3211009174311927,109,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,dev,AMBIGUOUS,results/source_private_wyner_ziv_cross_family_gate_20260429/holdout_to_core/predictions_budget6.jsonl,matched_learned_syndrome,0.16722408026755853,scalar_quantized_source,0.6287625418060201,-0.46153846153846156,-0.5217391304347826,-0.4080267558528428,299,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,gate,KILLED,results/source_private_wyner_ziv_cross_family_gate_20260429/holdout_to_core/predictions_budget6.jsonl,matched_learned_syndrome,0.1941747572815534,scalar_quantized_source,0.5825242718446602,-0.3883495145631068,-0.47572815533980584,-0.30097087378640774,103,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
