experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
01_static_top1_static_union,Granite,grid_dense,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.00014202879395242007,2.480957651229687e-05,2.669497734153481e-05,-0.00011722899624677652,True,0.0,0.0,64,10000,perplexity_bf16=1.0001420388805191; perplexity_static=1.0000248098842723; perplexity_method=1.0000266953336556
01_static_top1_static_union,Granite,grid_sparse,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.00014202879395242007,2.480957651229687e-05,4.032719694535558e-05,-0.00011722899624677652,True,0.0,0.0,64,10000,perplexity_bf16=1.0001420388805191; perplexity_static=1.0000248098842723; perplexity_method=1.0000403280100978
01_static_top1_static_union,Granite,magnitude_average,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.00014202879395242007,2.480957651229687e-05,4.34322405293841e-05,-0.00011722899624677652,True,0.0,0.0,64,10000,perplexity_bf16=1.0001420388805191; perplexity_static=1.0000248098842723; perplexity_method=1.000043433183723
01_static_top1_static_union,Granite,static_2pct,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.00014202879395242007,2.480957651229687e-05,2.3148292818575555e-05,-0.00011722899624677652,True,0.0,0.0,64,10000,perplexity_bf16=1.0001420388805191; perplexity_static=1.0000248098842723; perplexity_method=1.0000231485607425
01_static_top1_static_union,Granite,union_primary,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.00014202879395242007,2.480957651229687e-05,2.738093114551532e-05,-0.00011722899624677652,True,0.0,0.0,64,10000,perplexity_bf16=1.0001420388805191; perplexity_static=1.0000248098842723; perplexity_method=1.0000273813060065
01_static_top1_static_union,Granite,grid_dense,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.0015712188576987307,0.0003835799674682949,0.00045853098987214125,-0.0011888003251163681,True,0.0,0.0,64,10000,perplexity_bf16=1.0015724538687876; perplexity_static=1.0003836535436712; perplexity_method=1.0004586361312762
01_static_top1_static_union,Granite,grid_sparse,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.0015712188576987307,0.0003835799674682949,0.00021175685916541287,-0.0011888003251163681,True,0.0,0.0,64,10000,perplexity_bf16=1.0015724538687876; perplexity_static=1.0003836535436712; perplexity_method=1.0002117792812317
01_static_top1_static_union,Granite,magnitude_average,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.0015712188576987307,0.0003835799674682949,0.00041026200961846726,-0.0011888003251163681,True,0.0,0.0,64,10000,perplexity_bf16=1.0015724538687876; perplexity_static=1.0003836535436712; perplexity_method=1.0004103461785867
01_static_top1_static_union,Granite,static_2pct,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.0015712188576987307,0.0003835799674682949,0.0003174299065885622,-0.0011888003251163681,True,0.0,0.0,64,10000,perplexity_bf16=1.0015724538687876; perplexity_static=1.0003836535436712; perplexity_method=1.0003174802927925
01_static_top1_static_union,Granite,union_primary,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.0015712188576987307,0.0003835799674682949,0.0006468279631423046,-0.0011888003251163681,True,0.0,0.0,64,10000,perplexity_bf16=1.0015724538687876; perplexity_static=1.0003836535436712; perplexity_method=1.0006470372014606
01_static_top1_static_union,Granite,grid_dense,static_1pct,13,opencompass_AIME2025_I_13,AIME-2025,,6.437614572973871e-05,3.301166125813104e-05,2.7996343019642822e-05,-3.136601176945142e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0000643782179184; perplexity_static=1.000033012206149; perplexity_method=1.0000279967349208
01_static_top1_static_union,Granite,grid_sparse,static_1pct,13,opencompass_AIME2025_I_13,AIME-2025,,6.437614572973871e-05,3.301166125813104e-05,5.017090351167042e-05,-3.136601176945142e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0000643782179184; perplexity_static=1.000033012206149; perplexity_method=1.0000501721620925
01_static_top1_static_union,Granite,magnitude_average,static_1pct,13,opencompass_AIME2025_I_13,AIME-2025,,6.437614572973871e-05,3.301166125813104e-05,4.0804246993930704e-05,-3.136601176945142e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0000643782179184; perplexity_static=1.000033012206149; perplexity_method=1.0000408050794984
01_static_top1_static_union,Granite,static_2pct,static_1pct,13,opencompass_AIME2025_I_13,AIME-2025,,6.437614572973871e-05,3.301166125813104e-05,1.1017260359347247e-05,-3.136601176945142e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0000643782179184; perplexity_static=1.000033012206149; perplexity_method=1.0000110173210497
01_static_top1_static_union,Granite,union_primary,static_1pct,13,opencompass_AIME2025_I_13,AIME-2025,,6.437614572973871e-05,3.301166125813104e-05,4.0201391088512395e-05,-3.136601176945142e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0000643782179184; perplexity_static=1.000033012206149; perplexity_method=1.0000402021991752
01_static_top1_static_union,Granite,grid_dense,static_1pct,17,opencompass_AIME2025_II_2,AIME-2025,,0.00011982934897059039,9.324497789719999e-05,2.9257741175570118e-05,-2.6587203448391605e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0001198365287938; perplexity_static=1.0000932493253454; perplexity_method=1.0000292581691874
01_static_top1_static_union,Granite,grid_sparse,static_1pct,17,opencompass_AIME2025_II_2,AIME-2025,,0.00011982934897059039,9.324497789719999e-05,6.406327537433754e-05,-2.6587203448391605e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0001198365287938; perplexity_static=1.0000932493253454; perplexity_method=1.0000640653274697
01_static_top1_static_union,Granite,magnitude_average,static_1pct,17,opencompass_AIME2025_II_2,AIME-2025,,0.00011982934897059039,9.324497789719999e-05,2.5977827689871447e-05,-2.6587203448391605e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0001198365287938; perplexity_static=1.0000932493253454; perplexity_method=1.0000259781651166
01_static_top1_static_union,Granite,static_2pct,static_1pct,17,opencompass_AIME2025_II_2,AIME-2025,,0.00011982934897059039,9.324497789719999e-05,6.738158204200317e-05,-2.6587203448391605e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0001198365287938; perplexity_static=1.0000932493253454; perplexity_method=1.0000673838522318
01_static_top1_static_union,Granite,union_primary,static_1pct,17,opencompass_AIME2025_II_2,AIME-2025,,0.00011982934897059039,9.324497789719999e-05,4.9665996613157404e-05,-2.6587203448391605e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0001198365287938; perplexity_static=1.0000932493253454; perplexity_method=1.0000496672299892
01_static_top1_static_union,Granite,grid_dense,static_1pct,18,opencompass_AIME2025_II_3,AIME-2025,,0.00036685149020243557,0.00010157715774716802,8.680135164951253e-05,-0.0002653364715583528,True,0.0,0.0,64,10000,perplexity_bf16=1.0003669187884396; perplexity_static=1.0001015823168813; perplexity_method=1.000086805118996
01_static_top1_static_union,Granite,grid_sparse,static_1pct,18,opencompass_AIME2025_II_3,AIME-2025,,0.00036685149020243557,0.00010157715774716802,9.852078217598148e-05,-0.0002653364715583528,True,0.0,0.0,64,10000,perplexity_bf16=1.0003669187884396; perplexity_static=1.0001015823168813; perplexity_method=1.0000985256355077
01_static_top1_static_union,Granite,magnitude_average,static_1pct,18,opencompass_AIME2025_II_3,AIME-2025,,0.00036685149020243557,0.00010157715774716802,8.282272333826057e-05,-0.0002653364715583528,True,0.0,0.0,64,10000,perplexity_bf16=1.0003669187884396; perplexity_static=1.0001015823168813; perplexity_method=1.0000828261532346
01_static_top1_static_union,Granite,static_2pct,static_1pct,18,opencompass_AIME2025_II_3,AIME-2025,,0.00036685149020243557,0.00010157715774716802,0.0002010351705514779,-0.0002653364715583528,True,0.0,0.0,64,10000,perplexity_bf16=1.0003669187884396; perplexity_static=1.0001015823168813; perplexity_method=1.0002010553794756
01_static_top1_static_union,Granite,union_primary,static_1pct,18,opencompass_AIME2025_II_3,AIME-2025,,0.00036685149020243557,0.00010157715774716802,0.00012861845967826468,-0.0002653364715583528,True,0.0,0.0,64,10000,perplexity_bf16=1.0003669187884396; perplexity_static=1.0001015823168813; perplexity_method=1.000128626731387
01_static_top1_static_union,Granite,grid_dense,static_1pct,20,opencompass_AIME2025_II_5,AIME-2025,,0.0001753946618663349,2.6988436439445707e-05,1.0410161139673413e-05,-0.00014842124377878463,True,0.0,0.0,64,10000,perplexity_bf16=1.0001754100444094; perplexity_static=1.0000269888006306; perplexity_method=1.0000104102153256
