model,layer_index,migration_fraction_mean,trace_count,source
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,4,0.7854938271604938,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,5,0.8194444444444444,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,6,0.8657407407407407,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,7,0.8425925925925926,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,8,0.8487654320987654,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,9,0.8580246913580246,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,10,0.845679012345679,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,11,0.8395061728395061,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,12,0.8626543209876543,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,13,0.8549382716049383,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,14,0.845679012345679,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,15,0.8641975308641975,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,16,0.8873456790123456,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,17,0.8888888888888888,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,18,0.8966049382716049,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,19,0.875,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,20,0.8796296296296297,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,21,0.8780864197530864,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,22,0.875,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,23,0.8672839506172839,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
