experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
00_four_model_drift,Granite/Nemotron/DeepSeek/Falcon,m11b_top1,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0068859821577071795,0.009913175766370852,0.011127147433078882,0.003052729014340505,False,-0.40187331663281833,0.0,512,10000,perplexity_bf16=1.0069097450451383; perplexity_static=1.0099624740594788; perplexity_method=1.011189284393253
00_four_model_drift,Granite/Nemotron/DeepSeek/Falcon,m11b_top10,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0068859821577071795,0.009913175766370852,0.012029104439884239,0.003052729014340505,False,-0.7007733153813511,0.0,512,10000,perplexity_bf16=1.0069097450451383; perplexity_static=1.0099624740594788; perplexity_method=1.012101745091819
00_four_model_drift,Granite/Nemotron/DeepSeek/Falcon,m11b_top5,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0068859821577071795,0.009913175766370852,0.012009401883279563,0.003052729014340505,False,-0.6942411943231641,0.0,512,10000,perplexity_bf16=1.0069097450451383; perplexity_static=1.0099624740594788; perplexity_method=1.0120818042963395
00_four_model_drift,Granite/Nemotron/DeepSeek/Falcon,static_top10,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0068859821577071795,0.009913175766370852,0.01336039976981597,0.003052729014340505,False,-1.1424448873886348,0.0,512,10000,perplexity_bf16=1.0069097450451383; perplexity_static=1.0099624740594788; perplexity_method=1.013450048714495
00_four_model_drift,Granite/Nemotron/DeepSeek/Falcon,m11b_top1,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.001471357250347305,0.0008247978826223523,0.0009456347298730794,-0.0006473021055775074,True,,,512,10000,perplexity_bf16=1.00147244022751; perplexity_static=1.0008251381219324; perplexity_method=1.0009460819833627
00_four_model_drift,Granite/Nemotron/DeepSeek/Falcon,m11b_top10,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.001471357250347305,0.0008247978826223523,0.0009358757027029263,-0.0006473021055775074,True,,,512,10000,perplexity_bf16=1.00147244022751; perplexity_static=1.0008251381219324; perplexity_method=1.000936313771017
00_four_model_drift,Granite/Nemotron/DeepSeek/Falcon,m11b_top5,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.001471357250347305,0.0008247978826223523,0.0008604231987456856,-0.0006473021055775074,True,,,512,10000,perplexity_bf16=1.00147244022751; perplexity_static=1.0008251381219324; perplexity_method=1.0008607934689748
00_four_model_drift,Granite/Nemotron/DeepSeek/Falcon,static_top10,static_1pct,1,opencompass_AIME2025_I_1,AIME-2025,,0.001471357250347305,0.0008247978826223523,0.0008637108865623411,-0.0006473021055775074,True,,,512,10000,perplexity_bf16=1.00147244022751; perplexity_static=1.0008251381219324; perplexity_method=1.000864083992221
00_four_model_drift,Granite/Nemotron/DeepSeek/Falcon,m11b_top1,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.0034212655805738734,0.01934067187551136,0.009752561408625127,0.016101789499869623,False,0.6041963024062332,0.6041963024062332,512,10000,perplexity_bf16=1.003427124789725; perplexity_static=1.0195289142895947; perplexity_method=1.00980027261165
00_four_model_drift,Granite/Nemotron/DeepSeek/Falcon,m11b_top10,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.0034212655805738734,0.01934067187551136,0.011259476919555311,0.016101789499869623,False,0.5096210507390277,0.5096210507390277,512,10000,perplexity_bf16=1.003427124789725; perplexity_static=1.0195289142895947; perplexity_method=1.0113231034058925
00_four_model_drift,Granite/Nemotron/DeepSeek/Falcon,m11b_top5,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.0034212655805738734,0.01934067187551136,0.013501455824396658,0.016101789499869623,False,0.3686486043725524,0.3686486043725524,512,10000,perplexity_bf16=1.003427124789725; perplexity_static=1.0195289142895947; perplexity_method=1.0135930120625671
