model,trace_id,label,predicted_score,fold_or_note,features_used
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,8,0,0.000000,deepseek_loo_trace_8;stump:input_token_count:ge:159:train_ba=0.900,stump:input_token_count:ge:159
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,9,0,0.500000,deepseek_loo_trace_9;stump:input_token_count:ge:159:train_ba=0.950,stump:input_token_count:ge:159
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,10,0,0.500000,deepseek_loo_trace_10;stump:input_token_count:ge:159:train_ba=0.950,stump:input_token_count:ge:159
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,11,0,0.000000,deepseek_loo_trace_11;stump:input_token_count:ge:159:train_ba=0.900,stump:input_token_count:ge:159
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,0,0,1.000000,nemotron_loo_trace_0;stump:input_token_count:le:102:train_ba=1.000,stump:input_token_count:le:102
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,1,0,0.000000,nemotron_loo_trace_1;stump:input_token_count:le:102:train_ba=0.944,stump:input_token_count:le:102
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,2,0,0.000000,nemotron_loo_trace_2;stump:input_token_count:le:102:train_ba=0.944,stump:input_token_count:le:102
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,3,1,0.000000,nemotron_loo_trace_3;stump:pos100_mean:ge:2.40342:train_ba=1.000,stump:pos100_mean:ge:2.40342
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,4,1,0.000000,nemotron_loo_trace_4;stump:row_top1_mean:le:18.0794:train_ba=1.000,stump:row_top1_mean:le:18.0794
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,5,0,0.666667,nemotron_loo_trace_5;stump:input_token_count:le:109.5:train_ba=0.944,stump:input_token_count:le:109.5
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,6,0,0.000000,nemotron_loo_trace_6;stump:input_token_count:le:102:train_ba=0.944,stump:input_token_count:le:102
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,7,0,0.000000,nemotron_loo_trace_7;stump:input_token_count:le:102:train_ba=0.944,stump:input_token_count:le:102
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,8,0,0.000000,nemotron_loo_trace_8;stump:input_token_count:le:102:train_ba=0.944,stump:input_token_count:le:102
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,9,0,0.000000,nemotron_loo_trace_9;stump:input_token_count:le:102:train_ba=0.944,stump:input_token_count:le:102
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,10,0,0.000000,nemotron_loo_trace_10;stump:input_token_count:le:102:train_ba=0.944,stump:input_token_count:le:102
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,11,0,0.000000,nemotron_loo_trace_11;stump:input_token_count:le:102:train_ba=0.944,stump:input_token_count:le:102
